BARANG,NAMA_BARANG_RAPIH,KATEGORI,MEREK,SPESIFIKASI,PART_NO,COA
AS POMPA SEA WATER (REP),PUMP AS POMPA SEA WATER REP,PUMP,,,,PERLENGKAPAN KAPAL - MESIN
AS POMPA SERVO.REP,PUMP AS POMPA SERVO REP,PUMP,,,,PERLENGKAPAN KAPAL - MESIN
AS POMPA SW AE (REP),PUMP AS POMPA SW AE REP,PUMP,,,,PERLENGKAPAN KAPAL - MESIN
AS ROCKER ARM AE (REP),ENGINE PART AS ROCKER ARM AE REP,ENGINE PART,,,,PERLENGKAPAN KAPAL - MESIN
AS ROLLER ( REP ) (REP),LAIN-LAIN AS ROLLER REP REP,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS ROLLER EXH VALVE (REP),VALVE AS ROLLER EXH VALVE REP,VALVE,,,,PERLENGKAPAN KAPAL - MESIN
AS ROUND BAR 115 MM X 550MM,"LAIN-LAIN AS ROUND BAR 115 MM X 550MM 115 MM, 550MM",LAIN-LAIN,,"115 MM, 550MM",,PERLENGKAPAN KAPAL - MESIN
AS S45C Ø 100 X 300 MM,"LAIN-LAIN AS S45C Ø 100 X 300 MM 100 X 300, 300 MM",LAIN-LAIN,,"100 X 300, 300 MM",,PERLENGKAPAN KAPAL - MESIN
AS SHAFT POMPA ( REP ) (REP),PUMP AS SHAFT POMPA REP REP,PUMP,,,,PERLENGKAPAN KAPAL - MESIN
AS SILVER 10 MM X 1200 MM,"SEAL AS SILVER 10 MM X 1200 MM 10 MM, 1200 MM",SEAL,,"10 MM, 1200 MM",,PERLENGKAPAN KAPAL - MESIN
AS SILVER DIA 8 X 2.000 MM,"SEAL AS SILVER DIA 8 X 2 000 MM 2.000 MM, 8 X 2.000",SEAL,,"2.000 MM, 8 X 2.000",,PERLENGKAPAN KAPAL - MESIN
AS SILVER Ø 20 X 2000 MM,"SEAL AS SILVER Ø 20 X 2000 MM 20 X 2000, 2000 MM",SEAL,,"20 X 2000, 2000 MM",,PERLENGKAPAN KAPAL - MESIN
AS SILVER Ø 22 X 1000 MM,"SEAL AS SILVER Ø 22 X 1000 MM 1000 MM, 22 X 1000",SEAL,,"1000 MM, 22 X 1000",,PERLENGKAPAN KAPAL - MESIN
AS SILVER Ø 22 X 2000 MM,"SEAL AS SILVER Ø 22 X 2000 MM 2000 MM, 22 X 2000",SEAL,,"2000 MM, 22 X 2000",,PERLENGKAPAN KAPAL - MESIN
AS SILVER Ø 50,SEAL AS SILVER Ø 50,SEAL,,,,PERLENGKAPAN KAPAL - MESIN
AS STAINLES DIA. 41 X 400 MM,"LAIN-LAIN AS STAINLES DIA 41 X 400 MM 400 MM, 41 X 400",LAIN-LAIN,,"400 MM, 41 X 400",,PERLENGKAPAN KAPAL - MESIN
"AS STAINLES Ø 1-1/4"" X 1000 MM","LAIN-LAIN AS STAINLES Ø 1 1 4 X 1000 MM 1000 MM, 4""",LAIN-LAIN,,"1000 MM, 4""",,PERLENGKAPAN KAPAL - MESIN
"AS STAINLES Ø 1-1/4"" X 2000 MM","LAIN-LAIN AS STAINLES Ø 1 1 4 X 2000 MM 2000 MM, 4""",LAIN-LAIN,,"2000 MM, 4""",,PERLENGKAPAN KAPAL - MESIN
"AS STAINLES Ø 1,25""","LAIN-LAIN AS STAINLES Ø 1 25 1,25""",LAIN-LAIN,,"1,25""",,PERLENGKAPAN KAPAL - MESIN
"AS STAINLES Ø 1,5"" X 1000 MM","LAIN-LAIN AS STAINLES Ø 1 5 X 1000 MM 1,5"", 1000 MM",LAIN-LAIN,,"1,5"", 1000 MM",,PERLENGKAPAN KAPAL - MESIN
"AS STAINLES Ø 1,75""","LAIN-LAIN AS STAINLES Ø 1 75 1,75""",LAIN-LAIN,,"1,75""",,PERLENGKAPAN KAPAL - MESIN
"AS STAINLES Ø 1.5""","LAIN-LAIN AS STAINLES Ø 1 5 1.5""",LAIN-LAIN,,"1.5""",,PERLENGKAPAN KAPAL - MESIN
"AS STAINLES Ø 1.75""","LAIN-LAIN AS STAINLES Ø 1 75 1.75""",LAIN-LAIN,,"1.75""",,PERLENGKAPAN KAPAL - MESIN
"AS STAINLES Ø 1""","LAIN-LAIN AS STAINLES Ø 1 1""",LAIN-LAIN,,"1""",,PERLENGKAPAN KAPAL - MESIN
"AS STAINLES Ø 1"" X 1000 MM","LAIN-LAIN AS STAINLES Ø 1 X 1000 MM 1"", 1000 MM",LAIN-LAIN,,"1"", 1000 MM",,PERLENGKAPAN KAPAL - MESIN
"AS STAINLES Ø 1"" X 2000 MM","LAIN-LAIN AS STAINLES Ø 1 X 2000 MM 1"", 2000 MM",LAIN-LAIN,,"1"", 2000 MM",,PERLENGKAPAN KAPAL - MESIN
"AS STAINLES Ø 1"" X 700 MM","LAIN-LAIN AS STAINLES Ø 1 X 700 MM 1"", 700 MM",LAIN-LAIN,,"1"", 700 MM",,PERLENGKAPAN KAPAL - MESIN
AS STAINLES Ø 10 MM X 6 MTR,"LAIN-LAIN AS STAINLES Ø 10 MM X 6 MTR 10 MM, 6 M",LAIN-LAIN,,"10 MM, 6 M",,PERLENGKAPAN KAPAL - MESIN
AS STAINLES Ø 12 X 1000 MM,"LAIN-LAIN AS STAINLES Ø 12 X 1000 MM 1000 MM, 12 X 1000",LAIN-LAIN,,"1000 MM, 12 X 1000",,PERLENGKAPAN KAPAL - MESIN
"AS STAINLES Ø 2-1/4"" X 765 MM","LAIN-LAIN AS STAINLES Ø 2 1 4 X 765 MM 4"", 765 MM",LAIN-LAIN,,"4"", 765 MM",,PERLENGKAPAN KAPAL - MESIN
"AS STAINLES Ø 2,5"" X 500 MM","LAIN-LAIN AS STAINLES Ø 2 5 X 500 MM 2,5"", 500 MM",LAIN-LAIN,,"2,5"", 500 MM",,PERLENGKAPAN KAPAL - MESIN
"AS STAINLES Ø 2,5"".","LAIN-LAIN AS STAINLES Ø 2 5 2,5""",LAIN-LAIN,,"2,5""",,PERLENGKAPAN KAPAL - MESIN
"AS STAINLES Ø 2""","LAIN-LAIN AS STAINLES Ø 2 2""",LAIN-LAIN,,"2""",,PERLENGKAPAN KAPAL - MESIN
"AS STAINLES Ø 2"" X 430 MM","LAIN-LAIN AS STAINLES Ø 2 X 430 MM 2"", 430 MM",LAIN-LAIN,,"2"", 430 MM",,PERLENGKAPAN KAPAL - MESIN
"AS STAINLES Ø 3""","LAIN-LAIN AS STAINLES Ø 3 3""",LAIN-LAIN,,"3""",,PERLENGKAPAN KAPAL - MESIN
"AS STAINLES Ø 3/4"" X 2000 MM","LAIN-LAIN AS STAINLES Ø 3 4 X 2000 MM 2000 MM, 4""",LAIN-LAIN,,"2000 MM, 4""",,PERLENGKAPAN KAPAL - MESIN
"AS STAINLES Ø 3/4"" X 6000 MM","LAIN-LAIN AS STAINLES Ø 3 4 X 6000 MM 4"", 6000 MM",LAIN-LAIN,,"4"", 6000 MM",,PERLENGKAPAN KAPAL - MESIN
AS STAINLES Ø 35 X 1040 MM,"LAIN-LAIN AS STAINLES Ø 35 X 1040 MM 1040 MM, 35 X 1040",LAIN-LAIN,,"1040 MM, 35 X 1040",,PERLENGKAPAN KAPAL - MESIN
AS STAINLES Ø 38,LAIN-LAIN AS STAINLES Ø 38,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS STAINLES Ø 40 X 440 MM,"LAIN-LAIN AS STAINLES Ø 40 X 440 MM 40 X 440, 440 MM",LAIN-LAIN,,"40 X 440, 440 MM",,PERLENGKAPAN KAPAL - MESIN
AS STAINLES Ø 50 X 500 MM,"LAIN-LAIN AS STAINLES Ø 50 X 500 MM 50 X 500, 500 MM",LAIN-LAIN,,"50 X 500, 500 MM",,PERLENGKAPAN KAPAL - MESIN
AS STAINLES Ø 60 X 850 MM,"LAIN-LAIN AS STAINLES Ø 60 X 850 MM 60 X 850, 850 MM",LAIN-LAIN,,"60 X 850, 850 MM",,PERLENGKAPAN KAPAL - MESIN
AS STAINLESS,LAIN-LAIN AS STAINLESS,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS STAINLESS DIA 32,LAIN-LAIN AS STAINLESS DIA 32,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS STAINLESS DIA 8 MM X 6.000 MM,"LAIN-LAIN AS STAINLESS DIA 8 MM X 6 000 MM 6.000 MM, 8 MM",LAIN-LAIN,,"6.000 MM, 8 MM",,PERLENGKAPAN KAPAL - MESIN
"AS STAINLESS Ø 1-1/4""","LAIN-LAIN AS STAINLESS Ø 1 1 4 4""",LAIN-LAIN,,"4""",,PERLENGKAPAN KAPAL - MESIN
AS STAINLESS Ø 6 MM X 6 MTR,"LAIN-LAIN AS STAINLESS Ø 6 MM X 6 MTR 6 M, 6 MM",LAIN-LAIN,,"6 M, 6 MM",,PERLENGKAPAN KAPAL - MESIN
AS STAINLESS Ø 75 MM,LAIN-LAIN AS STAINLESS Ø 75 MM 75 MM,LAIN-LAIN,,75 MM,,PERLENGKAPAN KAPAL - MESIN
AS STAINLESS UK.38MM X P. 600MM (SUS 304),"LAIN-LAIN AS STAINLESS UK 38MM X P 600MM SUS 304 38MM, 600MM",LAIN-LAIN,,"38MM, 600MM",,PERLENGKAPAN KAPAL - MESIN
AS TEFLON DIAMETER 35 MM,LAIN-LAIN AS TEFLON DIAMETER 35 MM 35 MM,LAIN-LAIN,,35 MM,,PERLENGKAPAN KAPAL - MESIN
AS TEFLON OD 100 MM,LAIN-LAIN AS TEFLON OD 100 MM 100 MM,LAIN-LAIN,,100 MM,,PERLENGKAPAN KAPAL - MESIN
AS TEFLON OD60 MM X P. 700MM,LAIN-LAIN AS TEFLON OD60 MM X P 700MM 700MM,LAIN-LAIN,,700MM,,PERLENGKAPAN KAPAL - MESIN
"AS TEMBAGA 4"" X 500 MM","LAIN-LAIN AS TEMBAGA 4 X 500 MM 4"", 500 MM",LAIN-LAIN,,"4"", 500 MM",,PERLENGKAPAN KAPAL - MESIN
"AS TEMBAGA 4"" X P.600 MM","LAIN-LAIN AS TEMBAGA 4 X P 600 MM 4"", 600 MM",LAIN-LAIN,,"4"", 600 MM",,PERLENGKAPAN KAPAL - MESIN
"AS TEMBAGA 4"" X P.900 MM","LAIN-LAIN AS TEMBAGA 4 X P 900 MM 4"", 900 MM",LAIN-LAIN,,"4"", 900 MM",,PERLENGKAPAN KAPAL - MESIN
"AS TEMBAGA DIA 4-1/2"" X P. 880 MM","LAIN-LAIN AS TEMBAGA DIA 4 1 2 X P 880 MM 2"", 880 MM",LAIN-LAIN,,"2"", 880 MM",,PERLENGKAPAN KAPAL - MESIN
"AS TEMBAGA DIA 5""","LAIN-LAIN AS TEMBAGA DIA 5 5""",LAIN-LAIN,,"5""",,PERLENGKAPAN KAPAL - DECK
"AS TEMBAGA Ø 3""","LAIN-LAIN AS TEMBAGA Ø 3 3""",LAIN-LAIN,,"3""",,PERLENGKAPAN KAPAL - MESIN
AS U/ JACK (REP),LAIN-LAIN AS U K REP JAC,LAIN-LAIN,JAC,,,PERLENGKAPAN KAPAL - MESIN
AS ULIR BAJA DRAT KIRI,LAIN-LAIN AS ULIR BAJA DRAT KIRI,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS WORM GEAR,LAIN-LAIN AS WORM R GEA,LAIN-LAIN,GEA,,,PERLENGKAPAN KAPAL - MESIN
"AS4015MS FLEXIBLE HOSE,CUMMINS NTA 855-D(M)",PIPE FITTING FLEXIBLE HOSE NTA 855 D M CUMMINS (P/N: AS4015MS),PIPE FITTING,CUMMINS,,AS4015MS,PERLENGKAPAN KAPAL - MESIN
ASAM MEFENAMAT,LAIN-LAIN ASAM MEFENAMAT,LAIN-LAIN,,,,BIAYA CONSUMABLES KAPAL
ASBAK,LAIN-LAIN ASBAK,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - DECK
ASBES KAIN,LAIN-LAIN ASBES KAIN,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
ASBES KAIN 1-1/2 MM,LAIN-LAIN ASBES KAIN 1 1 2 MM 2 MM,LAIN-LAIN,,2 MM,,PERLENGKAPAN KAPAL - MESIN
ASBES KAIN 3 MM,LAIN-LAIN ASBES KAIN 3 MM 3 MM,LAIN-LAIN,,3 MM,,PERLENGKAPAN KAPAL - MESIN
ASBES KAIN 3 MM ROLL,LAIN-LAIN ASBES KAIN 3 MM ROLL 3 MM,LAIN-LAIN,,3 MM,,PERLENGKAPAN KAPAL - MESIN
ASBES KAIN 5 MM,LAIN-LAIN ASBES KAIN 5 MM 5 MM,LAIN-LAIN,,5 MM,,BIAYA CONSUMABLES KAPAL
"ASBES PITA 2""","LAIN-LAIN ASBES PITA 2 2""",LAIN-LAIN,,"2""",,PERLENGKAPAN KAPAL - MESIN
"ASBES PITA GLASS CLOTH UK. 5CM X T : 1,5 MM ( ROLL )","LAIN-LAIN ASBES PITA GLASS CLOTH UK 5CM X T 1 5 MM ROLL 1,5 MM, 5CM",LAIN-LAIN,,"1,5 MM, 5CM",,PERLENGKAPAN KAPAL - MESIN
"ASC-32-4Z4 AUTOMATIC VOLTAGE REGULATOR,TAIYO",LAIN-LAIN AUTOMATIC VOLTAGE REGULATOR TAIYO (P/N: ASC-32-4Z4),LAIN-LAIN,,,ASC-32-4Z4,PERLENGKAPAN KAPAL - MESIN
ASSEMBLY PIPA,PIPE FITTING ASSEMBLY PIPA,PIPE FITTING,,,,PERLENGKAPAN KAPAL - MESIN
ATASIDA,LAIN-LAIN ATASIDA,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - DECK
ATOMIZER (FUEL NOZZLE) P/N:90910-0126 065 MITSUI MAN B&W 6S60MC,ENGINE PART ATOMIZER FUEL NOZZLE P N 065 MITSUI 6S60MC 065 M MAN B&W (P/N: 90910-0126),ENGINE PART,MAN B&W,065 M,90910-0126,PERLENGKAPAN KAPAL - MESIN
ATOMIZER FOR BOILER BURNER SUNFLAME TYPE SSC-5,CHEMICAL ATOMIZER FOR BOILER BURNER SUNFLAME TYPE SSC 5,CHEMICAL,,,,PERLENGKAPAN KAPAL - MESIN
ATOMIZER P/N Z27244 ME SULZER 7RTA52U,LAIN-LAIN ATOMIZER P N ME 7RTA52U SULZER (P/N: Z27244),LAIN-LAIN,SULZER,,Z27244,PERLENGKAPAN KAPAL - MESIN
ATOMIZER P/N:3440-1 MAKITA MITSUI B&W 8L35MC,LAIN-LAIN ATOMIZER P N MITSUI B W 8L35MC 1 M MAKITA (P/N: 3440-1),LAIN-LAIN,MAKITA,1 M,3440-1,PERLENGKAPAN KAPAL - MESIN
ATOMIZER P/N:90910-079-100 ME HYUNDAI MAN B&W 7S42MC,LAIN-LAIN ATOMIZER P N ME MAN B W 7S42MC 100 M HYUNDAI (P/N: 90910-079-100),LAIN-LAIN,HYUNDAI,100 M,90910-079-100,PERLENGKAPAN KAPAL - MESIN
"ATOMIZER,BOILER BURNER SUNFLAME SSC-5",CHEMICAL ATOMIZER BOILER BURNER SUNFLAME SSC 5,CHEMICAL,,,,PERLENGKAPAN KAPAL - MESIN
AUTDOR AC SPLIT IPK 220,LAIN-LAIN AUTDOR AC SPLIT IPK 220,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AUTOMATIC BATERAY CHARGE 24 VOLT 10 A PREMIER,LAIN-LAIN AUTOMATIC BATERAY CHARGE 24 VOLT 10 A PREMIER 24 VOLT,LAIN-LAIN,,24 VOLT,,PERLENGKAPAN KAPAL - MESIN
AUTOMATIC POTENTIOMETER P/N:FECR1000-5K(24V) SHANGHAI FORTRUST POWER ELECTRIC CO LTD,LAIN-LAIN AUTOMATIC POTENTIOMETER P N 24V SHANGHAI FORTRUST POWER ELECTRIC CO LTD 5K (P/N: FECR1000-5K),LAIN-LAIN,,5K,FECR1000-5K,PERLENGKAPAN KAPAL - MESIN
AUTOMATIC VOLTAGE REGULATOR (AVR) 7480501024,LAIN-LAIN AUTOMATIC VOLTAGE REGULATOR AVR 7480501024,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AUTONICS APC-1011-EN,LAIN-LAIN AUTONICS APC 1011 EN,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AUTONICS CT6M-1P,LAIN-LAIN AUTONICS CT6M 1P,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AUTONICS DAQ-000-USB,LAIN-LAIN AUTONICS DAQ 000 USB,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
"AUTONICS LOGIC PANEL LCD 10"" LP104-T9D8-C6T","ELECTRICAL AUTONICS LOGIC PANEL LCD 10 LP104 T9D8 C6T 10""",ELECTRICAL,,"10""",,INVENTARIS KAPAL
AUTONICS MT4W DV 4N,LAIN-LAIN AUTONICS MT4W DV 4N,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AUTONICS MT4W-DV-48,LAIN-LAIN AUTONICS MT4W DV 48,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AUTONICS TK4L-14RN,LAIN-LAIN AUTONICS TK4L 14RN,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - DECK
AUTONICS TK4S-22RN TEMPERATURE CONTROLLER,LAIN-LAIN AUTONICS TK4S 22RN TEMPERATURE CONTROLLER,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AUTONICS TMHA-42AB,LAIN-LAIN AUTONICS TMHA 42AB,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - DECK
AUTONICS TMHA-42AE,LAIN-LAIN AUTONICS TMHA 42AE,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - DECK
AUTONICS TR1D-14RN,LAIN-LAIN AUTONICS TR1D 14RN,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - DECK
AUTONICS TR1D-14RR,LAIN-LAIN AUTONICS TR1D 14RR,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - DECK
AUTOSOL,LAIN-LAIN AUTOSOL,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AUTOSOL METAL POLISH 50 GR,CHEMICAL AUTOSOL METAL POLISH 50 GR,CHEMICAL,,,,PERLENGKAPAN KAPAL - MESIN
AUTOSOL METAL POLISH 75 ML,CHEMICAL AUTOSOL METAL POLISH 75 ML 75 M,CHEMICAL,,75 M,,PERLENGKAPAN KAPAL - MESIN
AUTOTRANSFORMER 50 KVA,LAIN-LAIN AUTOTRANSFORMER 50 KVA 50 KVA,LAIN-LAIN,,50 KVA,,PERLENGKAPAN KAPAL - MESIN
AUX CAL19-11,LAIN-LAIN AUX CAL19 11,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AUX CONTACT CA5X-01,LAIN-LAIN AUX CONTACT CA5X 01,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AUX CONTACT LADN 22,LAIN-LAIN AUX CONTACT LADN 22,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AUXILARY CONTACT 1 NO 3 NC LADN13,LAIN-LAIN AUXILARY CONTACT 1 NO 3 NC LADN13,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AUXILARY CONTACT CA5X-10,LAIN-LAIN AUXILARY CONTACT CA5X 10,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AUXILARY CONTACT UN-AX2 (MITSUBISHI),LAIN-LAIN AUXILARY CONTACT UN AX2 MITSUBISHI,LAIN-LAIN,MITSUBISHI,,,PERLENGKAPAN KAPAL - MESIN
AUXILARY CONTACT UN-AX4 (MITSUBISHI),LAIN-LAIN AUXILARY CONTACT UN AX4 MITSUBISHI,LAIN-LAIN,MITSUBISHI,,,PERLENGKAPAN KAPAL - MESIN
AUXILARY CONTACTOR  CAL 19-11 ABB,ELECTRICAL AUXILARY CONTACTOR CAL 19 11 ABB,ELECTRICAL,ABB,,,PERLENGKAPAN KAPAL - MESIN
AUXILARY CONTACTOR (1NO + 1NC),ELECTRICAL AUXILARY CONTACTOR 1NO 1NC,ELECTRICAL,,,,PERLENGKAPAN KAPAL - MESIN
AUXILARY CONTACTOR ABB CAL 18-11 CRANE MACGREGOR GL 4026-2,ELECTRICAL AUXILARY CONTACTOR CAL 18 11 CRANE MACGREGOR GL 4026 2 ABB,ELECTRICAL,ABB,,,PERLENGKAPAN KAPAL - MESIN
AUXILARY CONTACTOR LAEN22 SCHNEIDER,ELECTRICAL AUXILARY CONTACTOR LAEN22 SCHNEIDER,ELECTRICAL,SCHNEIDER,,,PERLENGKAPAN KAPAL - MESIN
AUXILIARY 1 NO 1 NC CONTACTOR SCHNEIDER ELECTRIC EASYPACK TVS LC1 E1810 400V/60 HZ 20 A,ELECTRICAL AUXILIARY 1 NO 1 NC CONTACTOR ELECTRIC EASYPACK TVS LC1 E1810 400V 60 HZ 20 A SCHNEIDER,ELECTRICAL,SCHNEIDER,,,PERLENGKAPAN KAPAL - MESIN
AUXILIARY 2 NO 2 NC,LAIN-LAIN AUXILIARY 2 NO 2 NC,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AUXILIARY CONTACT EATON DIL M150-XH131,LAIN-LAIN AUXILIARY CONTACT DIL M150 XH131 EATON,LAIN-LAIN,EATON,,,PERLENGKAPAN KAPAL - MESIN
AVO MULTIMETER DIGITAL KYORITSU 1021R,LAIN-LAIN AVO MULTIMETER DIGITAL KYORITSU 1021R,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AVO MULTIMETER KYORITSU,LAIN-LAIN AVO MULTIMETER KYORITSU,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AVOMETER DIGITAL,LAIN-LAIN AVOMETER DIGITAL,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AVOMETER DIGITAL SANWA CD-800 A,LAIN-LAIN AVOMETER DIGITAL SANWA CD 800 A,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AVOMETER DIGITAL SANWA MM CD-800 A,LAIN-LAIN AVOMETER DIGITAL SANWA MM CD 800 A,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AVOMETER SANWA CD 800A,LAIN-LAIN AVOMETER SANWA CD 800A,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AVOMETER YX-360TRF SANWA,LAIN-LAIN AVOMETER YX 360TRF SANWA,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AVR (REP),LAIN-LAIN AVR REP,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AVR 1PH02FWTY,LAIN-LAIN AVR 1PH02FWTY,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AVR ALTERNATOR TYPE EA16FC AE CUMMIN NTA 855,LAIN-LAIN AVR ALTERNATOR TYPE EA16FC AE CUMMIN NTA 855,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AVR AS-440,LAIN-LAIN AVR AS 440,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AVR CAVR-15A,LAIN-LAIN AVR CAVR 15A,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AVR CONMED (REP),LAIN-LAIN AVR CONMED REP,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AVR GENERATOR GB 140,ELECTRICAL AVR GENERATOR GB 140,ELECTRICAL,,,,PERLENGKAPAN KAPAL - MESIN
AVR GENERATOR SX 440,ELECTRICAL AVR GENERATOR SX 440,ELECTRICAL,,,,PERLENGKAPAN KAPAL - MESIN
AVR LEROY-SOMER R449,LAIN-LAIN AVR LEROY SOMER R449,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AVR MARATHON SE 350,LAIN-LAIN AVR MARATHON SE 350,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AVR MX-341,LAIN-LAIN AVR MX 341,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
"AVR P/N EA 125-8FC, CUMMINS N855-DM",LAIN-LAIN AVR P N 125 8FC N855 DM CUMMINS (P/N: EA),LAIN-LAIN,CUMMINS,,EA,PERLENGKAPAN KAPAL - MESIN
AVR P/N:EA26FC AE CUMMINS NTA 855,LAIN-LAIN AVR P N AE NTA 855 CUMMINS (P/N: EA26FC),LAIN-LAIN,CUMMINS,,EA26FC,PERLENGKAPAN KAPAL - MESIN
AVR PREMIER 1 PH 01 HW MAX 90 VDC/6A,LAIN-LAIN AVR PREMIER 1 PH 01 HW MAX 90 VDC 6A,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AVR PREMIER 1 PH 01 HW PL 220V 50-60 HZ,LAIN-LAIN AVR PREMIER 1 PH 01 HW PL 220V 50 60 HZ,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AVR PREMIER 1PH 01 HWC,LAIN-LAIN AVR PREMIER 1PH 01 HWC,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AVR PREMIER 1PH 02 FW - 10A,LAIN-LAIN AVR PREMIER 1PH 02 FW 10A,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AVR PREMIER 1PH 02 FW TY 125VDC 10A,LAIN-LAIN AVR PREMIER 1PH 02 FW TY 125VDC 10A,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AVR PREMIER 1PH01HWC 10A,LAIN-LAIN AVR PREMIER 1PH01HWC 10A,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AVR PREMIER 1PH01HWC SD PL-10A,LAIN-LAIN AVR PREMIER 1PH01HWC SD PL 10A,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AVR PREMIER 1PH02FW MP PL,LAIN-LAIN AVR PREMIER 1PH02FW MP PL,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AVR PREMIERE 1PH 02 FW-MP PL,LAIN-LAIN AVR PREMIERE 1PH 02 FW MP PL,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AVR PREMIERE 3PH01 HWR SD PL,LAIN-LAIN AVR PREMIERE 3PH01 HWR SD PL,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
"AVR R10/K, RSM-ELEKTRONIK",LAIN-LAIN AVR R10 K RSM ELEKTRONIK,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AVR STAMFORD AS-440,LAIN-LAIN AVR STAMFORD AS 440,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AVR STAMFORD MX 341 -2 E000-23412,LAIN-LAIN AVR STAMFORD MX 341 2 E000 23412,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AVR STAMFORD SX 460,LAIN-LAIN AVR STAMFORD SX 460,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AVR STAMFORD SX-440,LAIN-LAIN AVR STAMFORD SX 440,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AVR SX-440,LAIN-LAIN AVR SX 440,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AVR TAYO (REP),LAIN-LAIN AVR TAYO REP,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
"AVR TYPE E110-40A INPUT 220/380/415V, 50-60HZ",LAIN-LAIN AVR TYPE E110 40A INPUT 220 380 415V 50 60HZ,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AVR TYPE EA15A (15 AMP AVR 220/380 V),LAIN-LAIN AVR TYPE EA15A 15 AMP AVR 220 380 V 15 AMP,LAIN-LAIN,,15 AMP,,PERLENGKAPAN KAPAL - MESIN
AVR TYPE: KF308A2,LAIN-LAIN AVR TYPE KF308A2,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
